Cage.no,sp,date,no_male,eggs,larvae,tand,ferti,female_surv,mat_th,date_j
4,EXS,6/28/2023,1,0,0,,,1,1,179
16,TRA,6/28/2023,1,0,0,,,1,0,179
23,TRA,6/28/2023,1,0,0,,,1,0,179
22,TRA,6/29/2023,4,0,0,,,0,2,180
B20,EXS,6/29/2023,4,0,0,,,1,0,180
A4,EXS,6/29/2023,1,211,127,,0.601895735,1,0,180
11,EXS,6/29/2023,4,0,0,,,0,1,180
12,EXS,6/29/2023,1,0,0,,,0,1,180
A6,EXS,7/4/2023,4,181,144,,0.79558011,1,1,185
31,EXS,7/4/2023,1,348,7,,0.020114943,1,0,185
A4,EXS,7/4/2023,4,0,0,,,1,0,185
12,EXS,7/4/2023,4,0,0,,,1,1,185
99,EXS,7/4/2023,1,0,0,,,1,0,185
10,EXS,7/4/2023,1,0,0,,,0,0,185
13,EXS,7/4/2023,4,0,0,,,0,1,185
35,EXS,7/4/2023,4,0,0,,,0,3,185
11,EXS,7/4/2023,1,28,26,,0.928571429,1,1,185
B20,EXS,7/4/2023,1,0,0,,,0,1,185
10,EXS,7/13/2023,1,119,0,1,0,1,0,194
8,EXS,7/13/2023,4,296,17,1,0.057432432,1,0,194
35,EXS,7/13/2023,1,0,0,1,,1,0,194
6,EXS,7/13/2023,4,223,199,1,0.892376682,1,1,194
5,EXS,7/13/2023,4,0,0,1,,0,4,194
21,EXS,7/13/2023,1,0,0,1,,0,1,194
B20,EXS,7/13/2023,4,0,0,,,0,0,194
12,EXS,7/13/2023,4,302,8,1,0.026490066,1,3,194
31,EXS,7/13/2023,1,224,41,1,0.183035714,1,1,194
A4,EXS,7/13/2023,1,67,11,,0.164179104,1,0,194
B20,EXS,7/14/2023,4,0,0,,,1,4,195
A4,EXS,7/14/2023,4,0,0,,,1,1,195
6,EXS,7/14/2023,1,0,0,1,,0,0,195
21,EXS,7/14/2023,1,43,16,1,0.372093023,1,1,195
12,EXS,7/14/2023,4,278,202,,0.726618705,0,0,195
35,EXS,7/14/2023,4,0,0,,,0,0,195
8,EXS,7/19/2023,4,0,0,,,1,2,200
16,EXS,7/19/2023,4,0,0,,,0,2,200
11,EXS,7/19/2023,1,0,0,,,1,1,200
13,EXS,7/19/2023,1,0,0,,,0,0,200
11,EXS,7/22/2023,4,0,0,,,0,2,203
21,EXS,7/22/2023,4,0,0,,,0,1,203
4,EXS,7/22/2023,1,0,0,,,0,0,203
10,EXS,7/22/2023,1,0,0,,,0,1,203
99,EXS,7/27/2023,4,0,0,,,0,4,208
A4,EXS,7/27/2023,4,0,0,,,0,1,208
17,EXS,7/27/2023,1,0,0,,,0,0,208
13,EXS,7/27/2023,1,0,0,,,0,0,208
A6,TRA,7/27/2023,1,0,0,,,0,1,208
8,EXS,8/16/2023,4,0,0,,,1,3,228
6,EXS,8/16/2023,1,0,0,,,1,1,228
16,EXS,8/17/2023,4,35,4,,0.114285714,1,1,229
12,EXS,8/17/2023,1,0,0,,,1,1,229
31,EXS,8/17/2023,4,0,0,,,1,1,229
17,EXS,8/18/2023,1,0,0,,,0,1,230
8,EXS,8/18/2023,4,0,0,,,1,2,230
6,EXS,8/18/2023,4,302,47,,0.155629139,1,3,230
11,EXS,8/18/2023,1,0,0,,,1,1,230
35,EXS,8/18/2023,1,0,0,,,1,0,230
16,EXS,5/9/2024,4,0,0,,,0,3,129
12,EXS,5/9/2024,4,0,0,,,1,1,129
99,EXS,5/9/2024,4,24,18,,0.75,1,2,129
31,EXS,5/9/2024,4,341,327,,0.958944282,1,0,129
11,EXS,5/9/2024,1,0,0,,,1,1,129
10,EXS,5/9/2024,4,0,0,,,1,0,129
35,EXS,5/9/2024,1,0,0,,,1,1,129
31,EXS,5/14/2024,1,0,0,,,1,1,134
6,EXS,5/14/2024,1,0,0,,,0,0,134
17,EXS,5/14/2024,1,31,4,,0.129032258,1,0,134
5,EXS,5/14/2024,1,0,0,,,1,1,134
35,EXS,5/14/2024,4,255,97,,0.380392157,1,0,134
A4,EXS,5/14/2024,4,0,0,,,1,1,134
8,EXS,5/14/2024,4,0,0,,,1,2,134
B20,EXS,5/14/2024,4,0,0,,,1,2,134
14,EXS,5/28/2024,4,46,9,,0.195652174,1,1,148
B,EXS,5/28/2024,1,0,0,,,1,1,148
10,EXS,5/28/2024,4,0,0,,,0,0,148
C9,TRA,5/28/2024,1,4,0,,0,1,2,148
16,TRA,5/28/2024,4,271,4,,0.014760148,1,3,148
9,TRA,5/29/2024,1,189,131,,0.693121693,1,1,149
C5,TRA,5/29/2024,4,0,0,,,1,0,149
5,TRA,5/29/2024,4,319,179,,0.561128527,1,2,149
A4,TRA,5/29/2024,1,0,0,,,1,0,149
12,TRA,5/29/2024,4,0,0,,,0,0,149
D1,TRA,5/29/2024,4,0,0,,,1,0,149
B20,TRA,5/29/2024,1,83,56,,0.674698795,1,0,149
44,TRA,5/29/2024,4,0,0,,,1,0,149
13,TRA,5/29/2024,1,0,0,,,1,0,149
D2,TRA,5/29/2024,4,0,0,,,1,3,149
5A,TRA,5/29/2024,1,263,189,,0.718631179,1,0,149
21,TRA,5/30/2024,1,374,215,,0.57486631,1,0,150
B2,TRA,5/30/2024,4,472,7,,0.014830508,1,1,150
4,TRA,5/30/2024,4,31,27,,0.870967742,1,2,150
19,TRA,5/30/2024,1,0,0,,,1,0,150
23,TRA,5/30/2024,4,244,88,,0.360655738,1,1,150
14A,TRA,5/30/2024,4,387,0,,0,1,0,150
16,TRA,5/30/2024,1,209,84,,0.401913876,1,0,150
C10,TRA,5/30/2024,1,406,227,,0.5591133,1,2,150
T1,TRA,5/30/2024,4,113,0,,0,1,2,150
A6,TRA,5/30/2024,1,330,265,,0.803030303,1,3,150
CB,TRA,5/30/2024,4,0,0,,,1,0,150
C9,TRA,5/30/2024,1,274,96,,0.350364964,1,0,150
C17,TRA,6/4/2024,1,72,71,,0.986111111,1,1,155
1,EXS,6/4/2024,4,148,127,,0.858108108,1,2,155
24?,TRA,6/5/2024,1,0,0,,,1,0,156
4,TRA,6/5/2024,4,209,0,,0,1,2,156
2,TRA,6/5/2024,4,0,0,,,0,3,156
6,TRA,6/5/2024,4,348,204,,0.586206897,1,2,156
35,TRA,6/5/2024,4,0,0,,,1,2,156
A6,TRA,6/5/2024,4,236,0,,0,1,0,156
31,TRA,6/5/2024,4,459,213,,0.464052288,1,2,156
B2,TRA,6/5/2024,1,273,178,,0.652014652,1,1,156
30,TRA,6/5/2024,4,0,0,,,0,3,156
3,TRA,6/5/2024,4,0,0,,,1,3,156
10,TRA,6/5/2024,1,0,0,,,1,2,156
C7,TRA,6/5/2024,1,325,0,,0,1,1,156
22,TRA,6/5/2024,1,59,54,,0.915254237,1,0,156
99,TRA,6/5/2024,1,21,8,,0.380952381,1,1,156
B1,TRA,6/5/2024,1,381,278,,0.729658793,1,1,156
T1,TRA,6/5/2024,1,0,0,,,0,0,156
T3,TRA,6/5/2024,1,131,108,,0.824427481,1,0,156
99,TRA,6/6/2024,4,0,0,,,0,0,157
T3,TRA,6/6/2024,4,377,339,,0.899204244,1,3,157
35,TRA,6/6/2024,4,0,0,,,1,1,157
T1,TRA,6/6/2024,4,0,0,,,1,4,157
6,TRA,6/6/2024,4,232,227,,0.978448276,1,1,157
